nr_ankiet	data_przy	data_wyj	pyt_1	pyt_2	pyt_3	pyt_4	pyt_5	kod_ow
170	2004-05-23	2004-05-23	5	5	5	5	4	O2
171	2004-05-23	2004-06-24	5	5	5	5	5	w2
172	2004-05-23	2004-05-24	5	5	6	5	5	w2
173	2004-05-23	2004-07-21	5	6	4	4	5	O9
174	2004-05-24	2004-05-25	5	6	5	5	6	w2
175	2004-05-24	2004-06-22	5	6	5	6	5	O9
176	2004-05-24	2004-07-19	3	6	5	4	5	O9
177	2004-05-25	2004-05-28	1	5	5	4	4	O2
178	2004-05-25	2004-05-26	5	5	5	5	5	w2
179	2004-05-25	2004-07-19	5	6	6	5	4	O9
180	2004-05-25	2004-06-23	4	5	5	4	5	O9
181	2004-05-26	2004-08-27	5	5	5	5	5	w11
182	2004-05-26	2004-05-27	5	5	6	5	5	w2
183	2004-05-26	2004-06-24	4	5	5	4	5	O9
184	2004-05-27	2004-05-28	1	5	5	6	6	w2
185	2004-05-27	2004-06-25	5	5	4	4	5	O9
186	2004-05-27	2004-06-06	5	5	5	5	5	w11
187	2004-05-28	2004-05-29	6	5	5	6	6	w2
188	2004-05-28	2004-08-15	2	6	5	5	5	O6
189	2004-05-28	2004-06-21	5	5	5	5	5	O22
190	2004-05-28	2004-05-30	5	5	5	4	4	O1
191	2004-05-28	2004-05-31	5	6	6	5	5	w2
192	2004-05-29	2004-06-01	6	5	5	5	6	w2
193	2004-05-29	2004-08-16	6	6	5	5	5	O6
194	2004-05-29	2004-06-22	5	4	5	3	5	O22
195	2004-05-29	2004-05-31	5	6	5	4	5	O1
196	2004-05-29	2004-05-30	4	5	4	4	5	w2
197	2004-05-30	2004-08-17	6	6	5	5	5	O6
198	2004-05-30	2004-06-23	6	6	6	3	6	O22
199	2004-05-30	2004-06-11	5	5	5	5	5	O1
200	2004-05-30	2004-06-02	5	5	6	6	6	w2
201	2004-05-31	2004-08-18	5	5	5	5	4	O6
202	2004-05-31	2004-06-11	5	5	5	4	5	O6
203	2004-05-31	2004-06-12	5	5	5	5	5	O1
204	2004-05-31	2004-06-03	5	5	6	6	6	w2
205	2004-05-31	2004-06-24	5	6	6	3	6	O22
206	2004-06-01	2004-06-13	6	6	5	5	6	O1
207	2004-06-01	2004-06-12	5	5	5	4	4	O6
208	2004-06-01	2004-06-06	5	6	5	5	6	O6
209	2004-06-01	2004-06-25	5	6	5	5	6	O22
210	2004-06-01	2004-06-04	4	4	4	4	4	w4
211	2004-06-02	2004-06-14	5	5	5	5	5	O1
212	2004-06-02	2004-06-26	5	6	5	3	5	O22
213	2004-06-02	2004-06-13	5	6	6	5	5	O6
214	2004-06-02	2004-06-05	4	4	4	4	4	w4
215	2004-06-03	2004-06-14	5	5	5	4	5	O6
216	2004-06-03	2004-06-27	5	6	5	3	5	O22
217	2004-06-03	2004-06-15	5	6	5	4	5	O1
218	2004-06-03	2004-06-06	4	4	4	4	4	w4
219	2004-06-04	2004-06-15	6	6	6	4	6	O7
220	2004-06-04	2004-06-28	5	6	5	5	5	O22
221	2004-06-04	2004-06-16	5	6	5	5	5	O1
222	2004-06-04	2004-06-07	4	4	4	4	4	w4
223	2004-06-05	2004-06-17	2	6	4	4	6	O1
224	2004-06-05	2004-06-16	5	5	5	4	5	O7
225	2004-06-06	2004-06-07	2	6	5	3	5	O7
226	2004-06-06	2004-06-17	5	5	4	4	5	O7
227	2004-06-06	2004-06-10	5	5	5	5	5	O7
228	2004-06-06	2004-06-18	5	5	5	5	5	O1
229	2004-06-06	2004-06-08	4	4	3	4	5	O7
230	2004-06-06	2004-06-09	3	5	4	3	4	O7
231	2004-06-07	2004-06-19	5	5	4	4	5	O1
232	2004-06-07	2004-06-18	5	5	5	5	5	O7
233	2004-06-07	2004-06-08	5	6	6	4	5	w2
234	2004-06-07	2004-06-08	4	5	5	3	5	w2
235	2004-06-07	2004-06-08	3	3	5	3	3	w4
236	2004-06-08	2004-06-09	5	5	5	4	5	w4
237	2004-06-08	2004-06-09	5	5	6	4	5	w2
238	2004-06-08	2004-06-21	5	6	5	6	6	O1
239	2004-06-08	2004-06-19	3	4	3	3	3	O7
240	2004-06-09	2004-06-10	6	6	5	5	5	w4
241	2004-06-09	2004-06-20	3	4	3	3	3	O7
242	2004-06-10	2004-06-11	4	5	3	5	4	w4
243	2004-06-10	2004-06-21	3	4	3	3	3	O7
244	2004-06-11	2004-06-26	3	6	6	6	6	O22
245	2004-06-11	2004-06-29	6	6	6	4	5	O22
246	2004-06-11	2004-06-21	4	6	6	5	6	O1
247	2004-06-11	2004-06-22	5	3	3	3	5	O88
248	2004-06-11	2004-08-23	5	3	3	1	4	O3
249	2004-06-11	2004-08-21	5	4	5	4	5	O3
250	2004-06-11	2004-06-12	5	5	3	5	4	w4
251	2004-06-11	2004-06-28	5	5	5	5	5	O22
252	2004-06-11	2004-06-23	5	5	5	5	5	O2
253	2004-06-11	2004-06-25	5	5	5	4	5	O2
254	2004-06-11	2004-06-14	5	5	5	5	5	w4
255	2004-06-11	2004-06-27	5	5	5	5	5	O4
256	2004-06-11	2004-06-29	5	5	5	5	4	O4
257	2004-06-11	2004-06-21	5	6	5	5	5	O22
258	2004-06-11	2004-06-22	5	6	5	6	6	O9
259	2004-06-11	2004-06-24	5	6	5	5	6	O9
260	2004-06-11	2004-06-24	4	4	4	4	4	O8
261	2004-06-11	2004-06-27	4	5	5	4	5	O2
262	2004-06-11	2004-07-01	3	4	4	2	3	O4
263	2004-06-11	2004-06-16	1	3	1	1	2	w4
264	2004-06-12	2004-06-28	6	5	6	6	6	O2
265	2004-06-12	2004-06-23	6	6	6	6	6	O88
266	2004-06-12	2004-06-27	6	6	6	6	6	O22
267	2004-06-12	2004-06-29	6	6	6	6	6	O22
268	2004-06-12	2004-08-22	4	4	5	4	5	O3
269	2004-06-12	2004-06-13	5	5	3	5	4	w4
270	2004-06-12	2004-06-22	5	5	5	5	5	O2
271	2004-06-12	2004-06-22	5	5	5	5	5	O1
272	2004-06-12	2004-06-28	5	5	5	3	5	O4
273	2004-06-12	2004-08-24	5	5	5	5	5	O3
274	2004-06-12	2004-06-30	5	6	4	4	4	O22
275	2004-06-12	2004-06-23	5	6	4	4	6	O9
276	2004-06-12	2004-06-30	5	6	5	5	5	O22
277	2004-06-12	2004-06-30	5	6	5	4	5	O4
278	2004-06-12	2004-07-04	5	6	5	3	6	O9
279	2004-06-12	2004-06-30	5	6	6	3	5	O22
280	2004-06-12	2004-06-30	5	6	6	5	6	O22
281	2004-06-12	2004-07-25	5	6	6	4	6	O9
282	2004-06-12	2004-06-25	4	4	4	5	4	O8
283	2004-06-12	2004-07-02	4	5	4	5	5	O4
284	2004-06-12	2004-07-03	4	5	4	5	4	O4
285	2004-06-12	2004-06-26	4	5	5	5	5	O2
286	2004-06-12	2004-06-30	4	6	6	6	6	O22
287	2004-06-12	2004-06-24	3	5	3	3	4	O2
288	2004-06-12	2004-06-15	1	3	1	1	2	w4
289	2004-06-12	2004-06-17	1	3	1	1	2	w4
290	2004-06-13	2004-06-30	4	6	6	6	6	O22
291	2004-06-13	2004-06-30	5	5	4	5	5	O22
292	2004-06-13	2004-06-30	5	5	4	5	5	O22
293	2004-06-13	2004-06-30	5	5	4	5	5	O22
294	2004-06-13	2004-06-30	5	5	4	5	5	O22
295	2004-06-13	2004-06-23	5	5	4	4	5	O4
296	2004-06-13	2004-06-30	5	5	5	5	5	O22
297	2004-06-13	2004-06-30	5	5	5	5	5	O22
298	2004-06-13	2004-06-30	5	5	5	5	5	O22
299	2004-06-13	2004-06-30	5	5	5	5	5	O22
300	2004-06-13	2004-06-30	5	5	5	5	5	O22
301	2004-06-13	2004-06-29	5	5	5	6	5	O2
302	2004-06-13	2004-06-24	5	6	5	5	5	O88
303	2004-06-13	2004-06-30	5	6	5	5	6	O22
304	2004-06-13	2004-07-26	5	6	5	5	6	O9
305	2004-06-13	2004-06-30	5	6	6	5	5	O22
306	2004-06-13	2004-06-30	5	6	6	5	6	O22
307	2004-06-13	2004-06-30	5	6	6	5	6	O22
308	2004-06-13	2004-06-18	4	5	6	3	4	w4
309	2004-06-14	2004-06-19	6	5	5	1	5	w4
310	2004-06-14	2004-06-25	6	6	6	6	6	O88
311	2004-06-14	2004-06-24	5	6	5	6	6	O4
312	2004-06-14	2004-07-19	5	6	5	5	5	O9
313	2004-06-15	2004-06-25	6	6	6	6	6	O4
314	2004-06-15	2004-06-26	5	5	5	5	5	O88
315	2004-06-15	2004-07-05	5	5	5	5	5	O9
316	2004-06-15	2004-07-19	5	6	4	5	5	O9
317	2004-06-15	2004-06-20	3	5	6	3	4	w4
318	2004-06-16	2004-07-06	5	4	4	4	4	O9
319	2004-06-16	2004-07-19	5	5	5	5	5	O9
320	2004-06-16	2004-06-26	5	6	5	6	5	O4
321	2004-06-16	2004-06-27	5	4	4	5	5	O88
322	2004-06-16	2004-06-21	3	5	6	3	4	w4
323	2004-06-17	2004-06-22	5	5	4	3	5	w4
324	2004-06-17	2004-06-28	5	5	5	5	5	O88
325	2004-06-17	2004-07-30	5	5	5	5	5	w5
326	2004-06-17	2004-07-07	5	6	5	5	5	O9
327	2004-06-18	2004-06-29	5	5	5	4	5	O88
328	2004-06-18	2004-06-23	5	5	5	5	5	O1
329	2004-06-18	2004-07-31	5	5	5	5	5	w5
330	2004-06-18	2004-07-08	5	6	5	5	5	O9
331	2004-06-19	2004-07-09	6	6	6	6	6	O9
332	2004-06-19	2004-06-20	5	5	4	4	5	O8
333	2004-06-19	2004-06-24	5	5	5	4	5	O1
334	2004-06-19	2004-08-01	5	5	5	5	5	w5
335	2004-06-20	2004-08-02	5	5	5	5	5	w555
336	2004-06-20	2004-06-21	5	6	5	3	5	O8
337	2004-06-20	2004-07-10	5	6	5	5	5	O9
338	2004-06-21	2004-06-22	6	6	5	3	5	w5
339	2004-06-21	2004-06-22	4	4	5	5	4	O8
340	2004-06-21	2004-07-11	5	6	5	5	5	O9
341	2004-06-22	2004-06-23	5	5	4	5	5	w2
342	2004-06-22	2004-07-12	5	5	6	4	5	O9
343	2004-06-22	2004-06-23	5	6	5	5	5	O8
344	2004-06-22	2004-06-25	5	6	5	4	5	w2
345	2004-06-22	2004-06-23	3	6	4	3	5	w5
346	2004-06-23	2004-06-24	5	5	5	4	4	w5
347	2004-06-23	2004-07-13	5	6	5	5	5	O9
348	2004-06-24	2004-06-25	5	5	5	5	5	w5
349	2004-06-25	2004-06-26	6	6	6	5	6	w5
350	2004-06-26	2004-06-27	5	6	5	5	5	w5
351	2004-06-27	2004-06-28	5	6	5	5	5	w5
352	2004-06-28	2004-06-29	5	5	4	4	4	w555
353	2004-06-29	2004-06-30	5	6	6	4	5	w55
354	2004-06-30	2004-07-01	5	6	4	5	5	w555
355	2004-07-01	2004-07-02	5	6	4	5	5	O888
356	2004-07-02	2004-07-30	5	6	4	5	6	w55
357	2004-07-03	2004-07-31	5	6	4	5	6	w55
358	2004-07-04	2004-08-01	5	5	4	5	5	O888
359	2004-07-05	2004-08-02	5	5	5	5	5	w55
360	2004-07-06	2004-07-19	5	5	5	4	5	w55
361	2004-07-07	2004-07-19	5	5	5	5	5	w55
362	2004-07-07	2004-07-09	5	5	5	5	5	w6
363	2004-07-07	2004-08-07	4	5	5	4	6	w11
364	2004-07-07	2004-08-07	4	5	5	4	6	O5
365	2004-07-07	2004-08-07	4	5	5	4	6	w3
366	2004-07-08	2004-07-19	5	4	5	5	5	w555
367	2004-07-08	2004-07-10	5	5	5	5	4	w6
368	2004-07-09	2004-07-11	5	5	5	5	5	w6
369	2004-07-09	2004-07-10	4	6	5	4	4	O888
370	2004-07-10	2004-07-11	5	5	5	5	5	w55
371	2004-07-10	2004-07-12	5	5	5	5	5	w6
372	2004-07-11	2004-07-13	5	6	6	5	5	w6
373	2004-07-12	2004-07-14	5	5	5	5	5	w6
374	2004-07-13	2004-07-15	5	5	5	4	5	w6
375	2004-07-19	2004-07-19	6	6	5	6	6	w11
376	2004-07-20	2004-07-29	6	6	5	6	6	O5
377	2004-07-21	2004-07-30	6	6	5	6	5	w3
378	2004-07-22	2004-07-31	5	5	2	5	2	w3
379	2004-07-20	2004-08-07	6	5	5	5	2	w3
380	2004-08-03	2004-08-10	5	6	6	5	6	w3
381	2004-08-08	2004-08-15	4	6	6	6	6	w6
382	2004-08-09	2004-08-16	5	6	5	5	5	w6
383	2004-08-10	2004-08-17	4	5	4	3	4	w6
384	2004-08-11	2004-08-18	5	5	5	5	5	w6
385	2004-08-12	2004-08-19	5	5	5	5	5	w6
386	2004-08-13	2004-08-20	2	5	3	1	4	O3
387	2004-08-14	2004-08-15	5	6	5	4	5	O3
388	2004-08-15	2004-08-16	5	6	5	4	5	O3
389	2004-08-16	2004-08-17	5	6	5	4	5	O3
390	2004-08-17	2004-08-18	5	5	5	4	5	O3
391	2004-08-18	2004-08-19	5	5	5	4	5	O3
392	2004-08-19	2004-08-20	5	5	5	4	5	O3
393	2004-08-25	2004-08-28	1	5	5	5	1	w11
394	2004-08-25	2004-08-28	6	5	5	5	1	O5
395	2004-08-25	2004-08-28	6	5	5	5	6	w3
396	2004-08-25	2004-08-28	4	5	5	4	3	w3
397	2004-08-25	2004-08-28	2	4	5	2	2	w3
398	2004-08-30	2004-08-31	6	3	5	5	6	w11
399	2004-08-30	2004-08-31	6	3	5	5	6	w3
400	2004-08-30	2004-08-31	2	3	5	5	6	O5
